model,seed,exp,A-distance
cdan,32,E2M,0.06944444444444464
cdan,32,E2N,1.940909090909091
cdan,32,E2R,0.33333333333333326
cdan,32,M2E,0.25
cdan,32,M2N,1.940909090909091
cdan,32,M2R,0.3055555555555556
cdan,32,N2E,1.9400826446280992
cdan,32,N2M,1.9400826446280992
cdan,32,N2R,1.9400826446280992
cdan,32,R2E,0.18055555555555558
cdan,32,R2M,0.19444444444444442
cdan,32,R2N,1.940909090909091
coral,32,E2M,0.9297658862876252
coral,32,E2N,0.9088888888888889
coral,32,E2R,0.9297658862876252
coral,32,M2E,0.8896321070234112
coral,32,M2N,0.8700000000000001
coral,32,M2R,0.9297658862876252
coral,32,N2E,0.9832775919732439
coral,32,N2M,1.0100334448160537
coral,32,N2R,1.0100334448160537
coral,32,R2E,0.9163879598662206
coral,32,R2M,0.9297658862876252
coral,32,R2N,0.8455555555555554
awdan,32,E2M,0.06944444444444464
awdan,32,E2N,1.940909090909091
awdan,32,E2R,0.36111111111111116
awdan,32,M2E,0.22222222222222232
awdan,32,M2N,1.940909090909091
awdan,32,M2R,0.20833333333333326
awdan,32,N2E,1.9384297520661158
awdan,32,N2M,1.9384297520661158
awdan,32,N2R,1.9384297520661158
awdan,32,R2E,0.29166666666666674
awdan,32,R2M,0.20833333333333326
awdan,32,R2N,1.940909090909091
dann,32,E2M,0.13888888888888884
dann,32,E2N,1.940909090909091
dann,32,E2R,0.23611111111111116
dann,32,M2E,0.05555555555555558
dann,32,M2N,1.940909090909091
dann,32,M2R,0.33333333333333326
dann,32,N2E,1.9384297520661158
dann,32,N2M,1.9384297520661158
dann,32,N2R,1.9384297520661158
dann,32,R2E,0.02777777777777768
dann,32,R2M,0.05555555555555558
dann,32,R2N,1.940909090909091
mmd,32,E2M,0.9297658862876252
mmd,32,E2N,0.4933333333333332
mmd,32,E2R,0.8227424749163879
mmd,32,M2E,0.8896321070234112
mmd,32,M2N,0.7288888888888887
mmd,32,M2R,0.9297658862876252
mmd,32,N2E,0.9832775919732439
mmd,32,N2M,1.0100334448160537
mmd,32,N2R,1.0100334448160537
mmd,32,R2E,0.8762541806020065
mmd,32,R2M,0.9297658862876252
mmd,32,R2N,0.47444444444444445
