source,target,model,swd,accuracy,precision,recall,f1
E,M,coral,0.0,0.769,0.838,0.777,0.806
E,N,coral,0.0,0.815,0.862,0.816,0.838
E,R,coral,0.0,0.788,0.777,0.829,0.802
M,E,coral,0.0,0.809,0.793,0.876,0.832
M,N,coral,0.0,0.781,0.802,0.830,0.816
M,R,coral,0.0,0.741,0.716,0.831,0.769
N,E,coral,0.0,0.890,0.888,0.912,0.900
N,M,coral,0.0,0.787,0.853,0.791,0.821
N,R,coral,0.0,0.766,0.795,0.741,0.767
R,E,coral,0.0,0.856,0.856,0.881,0.868
R,M,coral,0.0,0.769,0.827,0.791,0.809
R,N,coral,0.0,0.788,0.824,0.810,0.817
