source,target,model,seed,swd,accuracy,precision,recall,f1
E,M,cdan,2,0.0,0.742,0.866,0.689,0.768
E,N,cdan,2,0.0,0.856,0.888,0.863,0.875
E,R,cdan,2,0.0,0.772,0.791,0.762,0.776
M,E,cdan,2,0.0,0.801,0.784,0.874,0.826
M,N,cdan,2,0.0,0.800,0.801,0.876,0.837
M,R,cdan,2,0.0,0.702,0.678,0.813,0.739
N,E,cdan,2,0.0,0.898,0.891,0.924,0.907
N,M,cdan,2,0.0,0.841,0.888,0.850,0.868
N,R,cdan,2,0.0,0.833,0.811,0.885,0.846
R,E,cdan,2,0.0,0.875,0.909,0.855,0.881
R,M,cdan,2,0.0,0.763,0.836,0.767,0.800
R,N,cdan,2,0.0,0.806,0.875,0.779,0.824
E,M,cdan,32,0.0,0.802,0.898,0.767,0.827
E,N,cdan,32,0.0,0.860,0.890,0.868,0.879
E,R,cdan,32,0.0,0.802,0.825,0.785,0.805
M,E,cdan,32,0.0,0.787,0.775,0.854,0.813
M,N,cdan,32,0.0,0.796,0.802,0.865,0.833
M,R,cdan,32,0.0,0.707,0.679,0.827,0.746
N,E,cdan,32,0.0,0.903,0.884,0.944,0.913
N,M,cdan,32,0.0,0.832,0.895,0.825,0.859
N,R,cdan,32,0.0,0.830,0.802,0.891,0.845
R,E,cdan,32,0.0,0.872,0.903,0.855,0.878
R,M,cdan,32,0.0,0.769,0.821,0.801,0.811
R,N,cdan,32,0.0,0.792,0.873,0.753,0.809
E,M,cdan,128,0.0,0.763,0.880,0.714,0.788
E,N,cdan,128,0.0,0.862,0.893,0.868,0.880
E,R,cdan,128,0.0,0.792,0.812,0.781,0.796
M,E,cdan,128,0.0,0.803,0.786,0.872,0.827
M,N,cdan,128,0.0,0.797,0.805,0.863,0.833
M,R,cdan,128,0.0,0.713,0.693,0.804,0.744
N,E,cdan,128,0.0,0.906,0.889,0.944,0.916
N,M,cdan,128,0.0,0.808,0.866,0.816,0.840
N,R,cdan,128,0.0,0.837,0.821,0.878,0.848
R,E,cdan,128,0.0,0.878,0.887,0.887,0.887
R,M,cdan,128,0.0,0.754,0.841,0.743,0.789
R,N,cdan,128,0.0,0.806,0.870,0.786,0.826
E,M,coral,2,0.0,0.769,0.838,0.777,0.806
E,N,coral,2,0.0,0.815,0.862,0.816,0.838
E,R,coral,2,0.0,0.786,0.780,0.820,0.800
M,E,coral,2,0.0,0.808,0.792,0.876,0.832
M,N,coral,2,0.0,0.780,0.797,0.839,0.817
M,R,coral,2,0.0,0.741,0.716,0.831,0.769
N,E,coral,2,0.0,0.886,0.890,0.900,0.895
N,M,coral,2,0.0,0.787,0.846,0.801,0.823
N,R,coral,2,0.0,0.765,0.787,0.751,0.768
R,E,coral,2,0.0,0.856,0.856,0.881,0.868
R,M,coral,2,0.0,0.772,0.828,0.796,0.812
R,N,coral,2,0.0,0.787,0.825,0.809,0.817
E,M,coral,32,0.0,0.763,0.829,0.777,0.802
E,N,coral,32,0.0,0.816,0.856,0.824,0.840
E,R,coral,32,0.0,0.785,0.785,0.808,0.796
