source,target,accuracy,accuracy,accuracy,accuracy,precision,precision,precision,precision,recall,recall,recall,recall,f1,f1,f1,f1
,,cdan,coral,dann,mmd,cdan,coral,dann,mmd,cdan,coral,dann,mmd,cdan,coral,dann,mmd
E,M,0.769,0.761,0.769,0.766,0.881,0.83,0.876,0.843,0.723,0.772,0.73,0.764,0.794,0.8,0.796,0.801
E,N,0.859,0.814,0.856,0.84,0.89,0.853,0.901,0.88,0.866,0.825,0.847,0.843,0.878,0.839,0.873,0.861
E,R,0.789,0.787,0.784,0.806,0.809,0.789,0.789,0.794,0.776,0.806,0.797,0.847,0.792,0.797,0.793,0.82
M,E,0.797,0.807,0.784,0.824,0.782,0.797,0.778,0.807,0.867,0.862,0.841,0.887,0.822,0.829,0.808,0.845
M,N,0.798,0.776,0.798,0.794,0.803,0.795,0.811,0.808,0.868,0.834,0.855,0.852,0.834,0.813,0.833,0.829
M,R,0.707,0.744,0.715,0.749,0.683,0.72,0.693,0.719,0.815,0.831,0.811,0.846,0.743,0.771,0.747,0.778
N,E,0.902,0.889,0.898,0.894,0.888,0.903,0.905,0.902,0.937,0.891,0.907,0.902,0.912,0.897,0.906,0.902
N,M,0.827,0.787,0.824,0.819,0.883,0.87,0.89,0.885,0.83,0.772,0.816,0.814,0.856,0.818,0.851,0.847
N,R,0.833,0.772,0.824,0.797,0.811,0.804,0.812,0.823,0.885,0.744,0.862,0.776,0.846,0.773,0.836,0.798
R,E,0.875,0.855,0.867,0.882,0.9,0.857,0.89,0.897,0.866,0.88,0.86,0.884,0.882,0.868,0.875,0.89
R,M,0.762,0.761,0.746,0.755,0.833,0.824,0.837,0.838,0.77,0.78,0.731,0.747,0.8,0.801,0.781,0.79
R,N,0.801,0.784,0.805,0.802,0.873,0.824,0.881,0.857,0.773,0.803,0.771,0.793,0.82,0.813,0.822,0.824
