cdan,cdan,cdan,cdan,coral,coral,coral,coral,dann,dann,dann,dann,mmd,mmd,mmd,mmd
accuracy,precision,recall,f1,accuracy,precision,recall,f1,accuracy,precision,recall,f1,accuracy,precision,recall,f1
0.769,0.881,0.723,0.794,0.761,0.83,0.772,0.8,0.769,0.876,0.73,0.796,0.766,0.843,0.764,0.801
0.859,0.89,0.866,0.878,0.814,0.853,0.825,0.839,0.856,0.901,0.847,0.873,0.84,0.88,0.843,0.861
0.789,0.809,0.776,0.792,0.787,0.789,0.806,0.797,0.784,0.789,0.797,0.793,0.806,0.794,0.847,0.82
0.797,0.782,0.867,0.822,0.807,0.797,0.862,0.829,0.784,0.778,0.841,0.808,0.824,0.807,0.887,0.845
0.798,0.803,0.868,0.834,0.776,0.795,0.834,0.813,0.798,0.811,0.855,0.833,0.794,0.808,0.852,0.829
0.707,0.683,0.815,0.743,0.744,0.72,0.831,0.771,0.715,0.693,0.811,0.747,0.749,0.719,0.846,0.778
0.902,0.888,0.937,0.912,0.889,0.903,0.891,0.897,0.898,0.905,0.907,0.906,0.894,0.902,0.902,0.902
0.827,0.883,0.83,0.856,0.787,0.87,0.772,0.818,0.824,0.89,0.816,0.851,0.819,0.885,0.814,0.847
0.833,0.811,0.885,0.846,0.772,0.804,0.744,0.773,0.824,0.812,0.862,0.836,0.797,0.823,0.776,0.798
0.875,0.9,0.866,0.882,0.855,0.857,0.88,0.868,0.867,0.89,0.86,0.875,0.882,0.897,0.884,0.89
0.762,0.833,0.77,0.8,0.761,0.824,0.78,0.801,0.746,0.837,0.731,0.781,0.755,0.838,0.747,0.79
0.801,0.873,0.773,0.82,0.784,0.824,0.803,0.813,0.805,0.881,0.771,0.822,0.802,0.857,0.793,0.824
